id;pos_documento
1;[[['A', 'inteligência', 'artificial', 'está', 'transformando', 'a', 'sociedade', 'moderna', 'em', 'um', 'ritmo', 'sem', 'precedentes', '.'], ['DET', 'NOUN', 'ADJ', 'AUX', 'VERB', 'DET', 'NOUN', 'ADJ', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'PUNCT'], ['está transformando'], ['o', 'inteligência', 'artificial', 'estar', 'transformar', 'o', 'sociedade', 'moderno', 'em', 'um', 'ritmo', 'sem', 'precedente', '.']]]
2;[[['O', 'desenvolvimento', 'de', 'novos', 'modelos', 'de', 'linguagem', 'exige', 'um', 'poder', 'computacional', 'gigantesco', '.'], ['DET', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'ADP', 'NOUN', 'VERB', 'DET', 'NOUN', 'ADJ', 'ADJ', 'PUNCT'], ['exige'], ['o', 'desenvolvimento', 'de', 'novo', 'modelo', 'de', 'linguagem', 'exigir', 'um', 'poder', 'computacional', 'gigantesco', '.']]]
3;[[['A', 'empresa', 'OpenAI', 'foi', 'fundada', 'com', 'o', 'objetivo', 'de', 'desenvolver', 'inteligência', 'artificial', 'de', 'forma', 'segura', '.'], ['DET', 'NOUN', 'PROPN', 'AUX', 'VERB', 'ADP', 'DET', 'NOUN', 'SCONJ', 'VERB', 'NOUN', 'ADJ', 'ADP', 'NOUN', 'ADJ', 'PUNCT'], ['foi fundada', 'desenvolver'], ['o', 'empresa', 'OpenAI', 'ser', 'fundar', 'com', 'o', 'objetivo', 'de', 'desenvolver', 'inteligência', 'artificial', 'de', 'forma', 'seguro', '.']]]
4;[[['A', 'computação', 'quântica', 'promete', 'resolver', 'problemas', 'que', 'os', 'computadores', 'clássicos', 'demorariam', 'séculos', 'para', 'processar', '.'], ['DET', 'NOUN', 'ADJ', 'VERB', 'VERB', 'NOUN', 'PRON', 'DET', 'NOUN', 'ADJ', 'VERB', 'NOUN', 'SCONJ', 'VERB', 'PUNCT'], ['promete resolver', 'demorariam', 'processar'], ['o', 'computação', 'quântico', 'prometer', 'resolver', 'problema', 'que', 'o', 'computador', 'clássico', 'demorar', 'século', 'para', 'processar', '.']]]
5;[[['Steve', 'Jobs', 'foi', 'um', 'dos', 'principais', 'fundadores', 'da', 'Apple', 'e', 'revolucionou', 'a', 'indústria', 'de', 'smartphones', 'com', 'o', 'lançamento', 'do', 'iPhone', '.'], ['PROPN', 'PROPN', 'AUX', 'NUM', 'ADP', 'ADJ', 'NOUN', 'ADP', 'PROPN', 'CCONJ', 'VERB', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'PUNCT'], ['revolucionou'], ['Steve', 'Jobs', 'ser', 'um', 'de o', 'principal', 'fundador', 'de o', 'Apple', 'e', 'revolucionar', 'o', 'indústria', 'de', 'smartphone', 'com', 'o', 'lançamento', 'de o', 'iPhone', '.']]]
6;[[['O', 'Google', 'é', 'a', 'ferramenta', 'de', 'busca', 'mais', 'utilizada', 'no', 'planeta', ',', 'processando', 'bilhões', 'de', 'consultas', 'diárias', '.'], ['DET', 'PROPN', 'AUX', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADV', 'VERB', 'ADP', 'NOUN', 'PUNCT', 'VERB', 'NUM', 'ADP', 'NOUN', 'ADJ', 'PUNCT'], ['utilizada', 'processando'], ['o', 'Google', 'ser', 'o', 'ferramenta', 'de', 'busca', 'mais', 'utilizar', 'em o', 'planeta', ',', 'processar', 'bilhão', 'de', 'consulta', 'diário', '.']]]
7;[[['A', 'segurança', 'da', 'informação', 'tornou-se', 'uma', 'prioridade', 'máxima', 'para', 'governos', 'e', 'empresas', 'no', 'século', 'vinte', 'e', 'um', '.'], ['DET', 'NOUN', 'ADP', 'NOUN', 'VERB', 'DET', 'NOUN', 'ADJ', 'ADP', 'NOUN', 'CCONJ', 'NOUN', 'ADP', 'NOUN', 'NUM', 'CCONJ', 'NUM', 'PUNCT'], ['tornou-se'], ['o', 'segurança', 'de o', 'informação', 'tornar se', 'um', 'prioridade', 'grande', 'para', 'governo', 'e', 'empresa', 'em o', 'século', 'vinte', 'e', 'um', '.']]]
8;[[['A', 'linguagem', 'de', 'programação', 'Python', 'cresceu', 'exponencialmente', 'graças', 'à', 'sua', 'forte', 'comunidade', 'de', 'desenvolvedores', '.'], ['DET', 'NOUN', 'ADP', 'NOUN', 'PROPN', 'VERB', 'ADV', 'ADV', 'ADP', 'DET', 'ADJ', 'NOUN', 'ADP', 'NOUN', 'PUNCT'], ['cresceu'], ['o', 'linguagem', 'de', 'programação', 'python', 'crescer', 'exponencialmente', 'graças', 'a o', 'seu', 'forte', 'comunidade', 'de', 'desenvolvedor', '.']]]
9;[[['O', 'uso', 'de', 'redes', 'neurais', 'profundas', 'permitiu', 'grandes', 'avanços', 'no', 'reconhecimento', 'de', 'imagens', 'e', 'voz', '.'], ['DET', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'ADJ', 'VERB', 'ADJ', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'CCONJ', 'NOUN', 'PUNCT'], ['permitiu'], ['o', 'uso', 'de', 'rede', 'neural', 'profundo', 'permitir', 'grande', 'avanço', 'em o', 'reconhecimento', 'de', 'imagem', 'e', 'voz', '.']]]
10;[[['Elon', 'Musk', 'adquiriu', 'a', 'rede', 'social', 'Twitter', 'e', 'promoveu', 'diversas', 'mudanças', 'polêmicas', 'na', 'plataforma', '.'], ['PROPN', 'PROPN', 'VERB', 'DET', 'NOUN', 'ADJ', 'PROPN', 'CCONJ', 'VERB', 'DET', 'NOUN', 'ADJ', 'ADP', 'NOUN', 'PUNCT'], ['adquiriu', 'promoveu'], ['Elon', 'Musk', 'adquirir', 'o', 'rede', 'social', 'Twitter', 'e', 'promover', 'diversos', 'mudança', 'polêmico', 'em o', 'plataforma', '.']]]
11;[[['A', 'realidade', 'virtual', 'e', 'a', 'realidade', 'aumentada', 'estão', 'criando', 'novas', 'formas', 'de', 'interação', 'no', 'metaverso', '.'], ['DET', 'NOUN', 'ADJ', 'CCONJ', 'DET', 'NOUN', 'VERB', 'AUX', 'VERB', 'ADJ', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'PUNCT'], ['aumentada estão', 'criando'], ['o', 'realidade', 'virtual', 'e', 'o', 'realidade', 'aumentar', 'estar', 'criar', 'novo', 'forma', 'de', 'interação', 'em o', 'metaverso', '.']]]
12;[[['O', 'armazenamento', 'em', 'nuvem', 'reduziu', 'drasticamente', 'a', 'necessidade', 'de', 'servidores', 'físicos', 'dentro', 'das', 'empresas', '.'], ['DET', 'NOUN', 'ADP', 'NOUN', 'VERB', 'ADV', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'ADV', 'ADP', 'NOUN', 'PUNCT'], ['reduziu'], ['o', 'armazenamento', 'em', 'nuvem', 'reduzir', 'drasticamente', 'o', 'necessidade', 'de', 'servidor', 'físico', 'dentro', 'de o', 'empresa', '.']]]
13;[[['A', 'Microsoft', 'continua', 'sendo', 'uma', 'gigante', 'do', 'software', 'corporativo', 'com', 'o', 'seu', 'popular', 'sistema', 'operacional', 'Windows', '.'], ['DET', 'PROPN', 'VERB', 'AUX', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'ADP', 'DET', 'DET', 'ADJ', 'NOUN', 'ADJ', 'PROPN', 'PUNCT'], ['continua sendo'], ['o', 'Microsoft', 'continuar', 'ser', 'um', 'gigante', 'de o', 'software', 'corporativo', 'com', 'o', 'seu', 'popular', 'sistema', 'operacional', 'Windows', '.']]]
14;[[['A', 'tecnologia', '5', 'G', 'permite', 'conexões', 'de', 'internet', 'móvel', 'com', 'velocidades', 'ultra', 'rápidas', 'e', 'baixíssima', 'latência', '.'], ['DET', 'NOUN', 'NUM', 'NOUN', 'VERB', 'NOUN', 'ADP', 'PROPN', 'ADJ', 'ADP', 'NOUN', 'ADJ', 'ADJ', 'CCONJ', 'ADJ', 'NOUN', 'PUNCT'], ['permite'], ['o', 'tecnologia', '5', 'G', 'permitir', 'conexão', 'de', 'Internet', 'móvel', 'com', 'velocidade', 'ultra', 'rápido', 'e', 'baixíssimo', 'latência', '.']]]
15;[[['A', 'inteligência', 'artificial', 'generativa', 'consegue', 'criar', 'textos', ',', 'imagens', 'e', 'até', 'músicas', 'que', 'parecem', 'feitas', 'por', 'humanos', '.'], ['DET', 'NOUN', 'ADJ', 'ADJ', 'VERB', 'VERB', 'NOUN', 'PUNCT', 'NOUN', 'CCONJ', 'ADP', 'NOUN', 'PRON', 'VERB', 'VERB', 'ADP', 'NOUN', 'PUNCT'], ['consegue criar', 'parecem feitas'], ['o', 'inteligência', 'artificial', 'generativo', 'conseguir', 'criar', 'texto', ',', 'imagem', 'e', 'até', 'música', 'que', 'parecer', 'fazer', 'por', 'humano', '.']]]
16;[[['O', 'Vale', 'do', 'Silício', ',', 'localizado', 'na', 'Califórnia', ',', 'é', 'o', 'maior', 'polo', 'de', 'inovação', 'tecnológica', 'do', 'mundo', '.'], ['DET', 'PROPN', 'ADP', 'PROPN', 'PUNCT', 'VERB', 'ADP', 'PROPN', 'PUNCT', 'AUX', 'DET', 'ADJ', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'ADP', 'NOUN', 'PUNCT'], ['localizado'], ['o', 'Vale', 'de o', 'Silício', ',', 'localizar', 'em o', 'Califórnia', ',', 'ser', 'o', 'grande', 'polo', 'de', 'inovação', 'tecnológico', 'de o', 'mundo', '.']]]
17;[[['A', 'automação', 'de', 'processos', 'industriais', 'está', 'substituindo', 'gradativamente', 'o', 'trabalho', 'manual', 'em', 'fábricas', 'de', 'grande', 'porte', '.'], ['DET', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'AUX', 'VERB', 'ADV', 'DET', 'NOUN', 'ADJ', 'ADP', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'PUNCT'], ['está substituindo'], ['o', 'automação', 'de', 'processo', 'industrial', 'estar', 'substituir', 'gradativamente', 'o', 'trabalho', 'manual', 'em', 'fábrica', 'de', 'grande', 'porte', '.']]]
18;[[['O', 'Linux', 'é', 'um', 'sistema', 'operacional', 'de', 'código', 'aberto', 'amplamente', 'utilizado', 'em', 'servidores', 'e', 'supercomputadores', '.'], ['DET', 'PROPN', 'AUX', 'DET', 'NOUN', 'ADJ', 'ADP', 'NOUN', 'VERB', 'ADV', 'VERB', 'ADP', 'NOUN', 'CCONJ', 'NOUN', 'PUNCT'], ['aberto', 'utilizado'], ['o', 'Linux', 'ser', 'um', 'sistema', 'operacional', 'de', 'código', 'abrir', 'amplamente', 'utilizar', 'em', 'servidor', 'e', 'supercomputador', '.']]]
19;[[['A', 'Amazon', 'começou', 'vendendo', 'livros', 'online', 'e', 'hoje', 'domina', 'o', 'comércio', 'eletrônico', 'e', 'a', 'infraestrutura', 'na', 'nuvem', '.'], ['DET', 'PROPN', 'VERB', 'VERB', 'NOUN', 'ADJ', 'CCONJ', 'ADV', 'VERB', 'DET', 'NOUN', 'ADJ', 'CCONJ', 'DET', 'NOUN', 'ADP', 'NOUN', 'PUNCT'], ['começou vendendo', 'domina'], ['o', 'Amazon', 'começar', 'vender', 'livro', 'online', 'e', 'hoje', 'dominar', 'o', 'comércio', 'eletrônico', 'e', 'o', 'infraestrutura', 'em o', 'nuvem', '.']]]
20;[[['O', 'conceito', 'de', 'Internet', 'das', 'Coisas', 'conecta', 'geladeiras', ',', 'carros', 'e', 'relógios', 'à', 'rede', 'mundial', 'de', 'computadores', '.'], ['DET', 'NOUN', 'ADP', 'PROPN', 'ADP', 'NOUN', 'VERB', 'NOUN', 'PUNCT', 'NOUN', 'CCONJ', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'ADP', 'NOUN', 'PUNCT'], ['conecta'], ['o', 'conceito', 'de', 'Internet', 'de o', 'Coisas', 'conecta', 'geladeira', ',', 'carro', 'e', 'relógio', 'a o', 'rede', 'mundial', 'de', 'computador', '.']]]
21;[[['A', 'criptomoeda', 'Bitcoin', 'foi', 'introduzida', 'como', 'um', 'sistema', 'de', 'pagamento', 'eletrônico', 'descentralizado', 'e', 'independente', 'de', 'bancos', 'centrais', '.'], ['DET', 'NOUN', 'PROPN', 'AUX', 'VERB', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'VERB', 'CCONJ', 'ADJ', 'ADP', 'NOUN', 'ADJ', 'PUNCT'], ['foi introduzida', 'descentralizado'], ['o', 'criptomoeda', 'Bitcoin', 'ser', 'introduzer', 'como', 'um', 'sistema', 'de', 'pagamento', 'eletrônico', 'descentralizar', 'e', 'independente', 'de', 'banco', 'central', '.']]]
22;[[['Os', 'avanços', 'na', 'biotecnologia', 'permitem', 'a', 'edição', 'genética', 'de', 'forma', 'cada', 'vez', 'mais', 'precisa', 'e', 'acessível', '.'], ['DET', 'NOUN', 'ADP', 'NOUN', 'VERB', 'DET', 'NOUN', 'ADJ', 'ADP', 'NOUN', 'NOUN', 'ADP', 'ADV', 'VERB', 'CCONJ', 'ADJ', 'PUNCT'], ['permitem', 'precisa'], ['o', 'avanço', 'em o', 'biotecnologia', 'permitir', 'o', 'edição', 'genético', 'de', 'forma', 'cada', 'vez', 'mais', 'precisar', 'e', 'acessível', '.']]]
23;[[['A', 'análise', 'de', 'big', 'data', 'ajuda', 'as', 'corporações', 'a', 'entenderem', 'melhor', 'os', 'padrões', 'de', 'comportamento', 'dos', 'consumidores', '.'], ['DET', 'NOUN', 'ADP', 'PROPN', 'NOUN', 'VERB', 'DET', 'NOUN', 'SCONJ', 'VERB', 'ADV', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'PUNCT'], ['ajuda', 'entenderem'], ['o', 'análise', 'de', 'big', 'data', 'ajudar', 'o', 'corporação', 'a', 'entender', 'melhor', 'o', 'padrão', 'de', 'comportamento', 'de o', 'consumidor', '.']]]
24;[[['A', 'Agência', 'Espacial', 'Americana', ',', 'a', 'NASA', ',', 'planeja', 'enviar', 'astronautas', 'de', 'volta', 'à', 'Lua', 'nos', 'próximos', 'anos', '.'], ['DET', 'PROPN', 'PROPN', 'PROPN', 'PUNCT', 'DET', 'PROPN', 'PUNCT', 'VERB', 'VERB', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'PUNCT'], ['planeja enviar'], ['o', 'Agência', 'Espacial', 'Americana', ',', 'o', 'NASA', ',', 'planejar', 'enviar', 'astronauta', 'de', 'volta', 'a o', 'lua', 'em o', 'próximo', 'ano', '.']]]
25;[[['Os', 'carros', 'autônomos', 'utilizam', 'milhares', 'de', 'sensores', 'e', 'câmeras', 'para', 'navegar', 'com', 'segurança', 'no', 'trânsito', 'urbano', '.'], ['DET', 'NOUN', 'ADJ', 'VERB', 'NOUN', 'ADP', 'NOUN', 'CCONJ', 'NOUN', 'SCONJ', 'VERB', 'ADP', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'PUNCT'], ['utilizam', 'navegar'], ['o', 'carro', 'autônomo', 'utilizar', 'milhar', 'de', 'sensor', 'e', 'câmera', 'para', 'navegar', 'com', 'segurança', 'em o', 'trânsito', 'urbano', '.']]]
26;[[['O', 'comércio', 'de', 'dados', 'pessoais', 'gerou', 'intensos', 'debates', 'sobre', 'privacidade', 'e', 'ética', 'na', 'internet', '.'], ['DET', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'VERB', 'ADJ', 'NOUN', 'ADP', 'NOUN', 'CCONJ', 'NOUN', 'ADP', 'PROPN', 'PUNCT'], ['gerou'], ['o', 'comércio', 'de', 'dado', 'pessoal', 'gerar', 'intenso', 'debate', 'sobre', 'privacidade', 'e', 'ética', 'em o', 'Internet', '.']]]
27;[[['A', 'robótica', 'tem', 'avançado', 'na', 'área', 'médica', ',', 'permitindo', 'cirurgias', 'de', 'altíssima', 'precisão', 'de', 'forma', 'remota', '.'], ['DET', 'NOUN', 'AUX', 'VERB', 'ADP', 'NOUN', 'ADJ', 'PUNCT', 'VERB', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'PUNCT'], ['tem avançado', 'permitindo'], ['o', 'robótica', 'ter', 'avançar', 'em o', 'área', 'médico', ',', 'permitir', 'cirurgia', 'de', 'alto', 'precisão', 'de', 'forma', 'remoto', '.']]]
28;[[['O', 'algoritmo', 'de', 'recomendação', 'do', 'TikTok', 'revolucionou', 'a', 'forma', 'como', 'consumimos', 'vídeos', 'curtos', 'nas', 'redes', 'sociais', '.'], ['DET', 'NOUN', 'ADP', 'NOUN', 'ADP', 'PROPN', 'VERB', 'DET', 'NOUN', 'ADV', 'VERB', 'NOUN', 'ADJ', 'ADP', 'NOUN', 'ADJ', 'PUNCT'], ['revolucionou', 'consumimos'], ['o', 'algoritmo', 'de', 'recomendação', 'de o', 'TikTok', 'revolucionar', 'o', 'forma', 'como', 'consumir', 'vídeo', 'curto', 'em o', 'rede', 'social', '.']]]
29;[[['O', 'trabalho', 'remoto', 'ganhou', 'força', 'global', 'após', 'a', 'pandemia', ',', 'acelerando', 'a', 'adoção', 'de', 'softwares', 'de', 'videochamada', 'como', 'o', 'Zoom', '.'], ['DET', 'NOUN', 'ADJ', 'VERB', 'NOUN', 'ADJ', 'ADP', 'DET', 'NOUN', 'PUNCT', 'VERB', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'ADP', 'DET', 'PROPN', 'PUNCT'], ['ganhou', 'acelerando'], ['o', 'trabalho', 'remoto', 'ganhar', 'força', 'global', 'após', 'o', 'pandemia', ',', 'acelerar', 'o', 'adoção', 'de', 'software', 'de', 'videochamada', 'como', 'o', 'Zoom', '.']]]
30;[[['A', 'corrida', 'espacial', 'comercial', 'tem', 'empresas', 'como', 'a', 'SpaceX', 'competindo', 'ativamente', 'por', 'contratos', 'governamentais', '.'], ['DET', 'NOUN', 'ADJ', 'ADJ', 'VERB', 'NOUN', 'ADP', 'DET', 'NOUN', 'VERB', 'ADV', 'ADP', 'NOUN', 'ADJ', 'PUNCT'], ['tem', 'competindo'], ['o', 'corrida', 'espacial', 'comercial', 'ter', 'empresa', 'como', 'o', 'SpaceX', 'competir', 'ativamente', 'por', 'contrato', 'governamental', '.']]]
31;[[['A', 'impressão', 'em', 'três', 'dimensões', 'está', 'revolucionando', 'a', 'manufatura', 'de', 'peças', 'de', 'engenharia', 'e', 'até', 'de', 'próteses', 'médicas', '.'], ['DET', 'NOUN', 'ADP', 'NUM', 'NOUN', 'AUX', 'VERB', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'CCONJ', 'ADV', 'ADP', 'NOUN', 'ADJ', 'PUNCT'], ['está revolucionando'], ['o', 'impressão', 'em', 'três', 'dimensão', 'estar', 'revolucionar', 'o', 'manufatura', 'de', 'peça', 'de', 'engenharia', 'e', 'até', 'de', 'próteses', 'médico', '.']]]
32;[[['Os', 'smartwatches', 'monitoram', 'a', 'saúde', 'em', 'tempo', 'real', ',', 'enviando', 'alertas', 'sobre', 'batimentos', 'cardíacos', 'anormais', '.'], ['DET', 'NOUN', 'VERB', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'PUNCT', 'VERB', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'ADJ', 'PUNCT'], ['monitoram', 'enviando'], ['o', 'smartwatche', 'monitorar', 'o', 'saúde', 'em', 'tempo', 'real', ',', 'enviar', 'alerta', 'sobre', 'batimento', 'cardíaco', 'anormal', '.']]]
33;[[['O', 'streaming', 'de', 'vídeo', 'sob', 'demanda', ',', 'popularizado', 'pela', 'Netflix', ',', 'mudou', 'completamente', 'a', 'indústria', 'do', 'entretenimento', 'televisivo', '.'], ['DET', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'PUNCT', 'VERB', 'ADP', 'PROPN', 'PUNCT', 'VERB', 'ADV', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'PUNCT'], ['popularizado', 'mudou'], ['o', 'streaming', 'de', 'vídeo', 'sob', 'demanda', ',', 'popularizar', 'por o', 'Netflix', ',', 'mudar', 'completamente', 'o', 'indústria', 'de o', 'entretenimento', 'televisivo', '.']]]
34;[[['A', 'inteligência', 'artificial', 'já', 'consegue', 'detectar', 'tumores', 'em', 'exames', 'de', 'imagem', 'com', 'maior', 'precisão', 'que', 'os', 'próprios', 'médicos', '.'], ['DET', 'NOUN', 'ADJ', 'ADV', 'VERB', 'VERB', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'SCONJ', 'DET', 'ADJ', 'NOUN', 'PUNCT'], ['consegue detectar'], ['o', 'inteligência', 'artificial', 'já', 'conseguir', 'detectar', 'tumor', 'em', 'exame', 'de', 'imagem', 'com', 'grande', 'precisão', 'que', 'o', 'próprio', 'médico', '.']]]
35;[[['A', 'educação', 'a', 'distância', 'foi', 'massificada', 'com', 'o', 'uso', 'de', 'plataformas', 'interativas', 'e', 'ferramentas', 'tecnológicas', 'educacionais', '.'], ['DET', 'NOUN', 'DET', 'NOUN', 'AUX', 'VERB', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'CCONJ', 'NOUN', 'ADJ', 'ADJ', 'PUNCT'], ['foi massificada'], ['o', 'educação', 'o', 'distância', 'ser', 'massificar', 'com', 'o', 'uso', 'de', 'plataforma', 'interativo', 'e', 'ferramenta', 'tecnológico', 'educacional', '.']]]
